    ,x1     ,x2     ,x3     ,x4      ,x5      ,x6     ,x7     ,x8      ,x9    ,x10   ,x11  ,x12  ,x13  ,y
2007,6236312,877.07 ,2624.24,22469.22,18951.32,7734787,1863.34,7140.32 ,149.87,429.36,103.4,1.474,20058,596693
2008,6529045,1005.37,3187.39,25316.72,20835.95,7841695,2105.54,8287.38 ,169.19,508.84,105.9,1.515,22114,756412
2009,6791495,1118.03,3615.77,27609.59,22820.89,7946154,2659.85,9138.21 ,172.28,557.74,97.5 ,1.633,24190,732282
2010,7110695,1304.48,4476.38,30658.49,25011.61,8061370,3263.57,10748.28,188.57,664.06,103.2,1.638,29549,935248
2011,7431755,1700.87,5243.03,34438.08,28209.74,8145797,3412.21,12423.44,204.54,710.66,105.5,1.67 ,34214,1061594
2012,7512997,1969.51,5977.27,38053.52,30490.44,8222969,3758.39,13551.21,213.76,760.49,103  ,1.825,37934,1075045
2013,7599295,2110.78,6882.85,42049.14,33156.83,8323096,4454.55,15420.14,228.46,852.56,102.6,1.906,41972,1155923
